group,class,17,42,90,256,512
n01534433,0,0.98,0.98,0.98,1.0,1.0
n01608432,0,0.78,0.78,0.82,0.86,0.82
n01806143,0,0.8571428571428571,0.8775510204081632,0.9183673469387756,0.9183673469387756,0.9183673469387756
n01820546,0,0.98,0.96,0.98,1.0,1.0
n01833805,0,0.9,0.88,0.9,0.96,0.96
n01855672,0,0.7659574468085106,0.7872340425531915,0.8085106382978723,0.9361702127659576,0.9361702127659576
n02012849,0,0.7551020408163265,0.7755102040816326,0.7755102040816326,0.8163265306122449,0.9183673469387756
n03887697,0,0.625,0.6458333333333334,0.6458333333333334,0.7916666666666666,0.7291666666666666
n03207941,0,0.56,0.6,0.66,0.7,0.84
n02906734,0,0.64,0.68,0.66,0.76,0.78
n04131690,0,0.673469387755102,0.673469387755102,0.7142857142857143,0.8163265306122449,0.8367346938775511
n03775546,0,0.8085106382978723,0.8297872340425532,0.9148936170212766,0.9574468085106383,0.9148936170212766
n04553703,0,0.84,0.92,0.88,0.94,0.92
n03207743,0,0.94,0.94,0.98,0.98,1.0
